event_ID,site,video_date,Visit_Date,Visit_Date,time,number_individuals,individual,individual_ID,trial_day,event_number,activation_number,sound_stimuli,period,proportion_vis,
RDT1_10Feb_19_1,RDT1,2021-02-10,10Feb,10-02-24,19:07,2,192,,7,105,14,Roedeer,before,0,
RDT1_10Feb_19_1,RDT1,2021-02-10,10Feb,10-02-24,19:07,2,193,,7,105,14,Roedeer,before,0,
RDT1_10Feb_20_1,RDT1,2021-02-10,10Feb,10-02-24,20:04,2,194,,7,106,15,Novel,before,0,
RDT1_10Feb_20_1,RDT1,2021-02-10,10Feb,10-02-24,20:04,2,195,,7,106,15,Novel,before,0,
RDT1_10Feb_20_2,RDT1,2021-02-10,10Feb,10-02-24,20:28,4,196,,7,107,40,Silent,before,0.076923077,
RDT1_10Feb_20_2,RDT1,2021-02-10,10Feb,10-02-24,20:28,4,197,,7,107,40,Silent,before,0.05,
RDT1_10Feb_20_2,RDT1,2021-02-10,10Feb,10-02-24,20:28,4,198,,7,107,40,Silent,before,NA,
RDT1_10Feb_20_2,RDT1,2021-02-10,10Feb,10-02-24,20:28,4,199,,7,107,40,Silent,before,0.75,
RDT1_10Feb_20_3,RDT1,2021-02-10,10Feb,10-02-24,20:36,2,200,,7,108,18,Human,before,0,
RDT1_10Feb_20_3,RDT1,2021-02-10,10Feb,10-02-24,20:36,2,201,,7,108,18,Human,before,0,
RDT1_10Feb_20_4,RDT1,2021-02-10,10Feb,10-02-24,20:57,1,202,,7,109,7,Bird,before,0.2,
RDT1_10Feb_21_1,RDT1,2021-02-10,10Feb,10-02-24,21:05,1,203,,7,110,19,Human,before,0,
RDT1_10Feb_22_1,RDT1,2021-02-10,10Feb,10-02-24,22:36,3,204,,7,111,41,Silent,before,0.55,
RDT1_10Feb_22_1,RDT1,2021-02-10,10Feb,10-02-24,22:36,3,205,,7,111,41,Silent,before,0.45,
RDT1_10Feb_22_1,RDT1,2021-02-10,10Feb,10-02-24,22:36,3,206,,7,111,41,Silent,before,0,
RDT1_10Feb_23_1,RDT1,2021-02-10,10Feb,10-02-24,23:08,1,207,,7,112,8,Bird,before,0.65,
RDT1_10Feb_23_2,RDT1,2021-02-10,10Feb,10-02-24,23:37,2,208,,7,113,16,Dog,before,0,
RDT1_10Feb_23_2,RDT1,2021-02-10,10Feb,10-02-24,23:37,2,209,,7,113,16,Dog,before,0,
RDT1_11Feb_0_1,RDT1,2021-02-11,11Feb,11-02-24,00:07,2,210,,8,114,15,Roedeer,before,0.55,
RDT1_11Feb_0_1,RDT1,2021-02-11,11Feb,11-02-24,00:07,2,211,,8,114,15,Roedeer,before,0,
RDT1_11Feb_0_2,RDT1,2021-02-11,11Feb,11-02-24,00:13,1,212,,8,115,42,Silent,before,0.8,
RDT1_11Feb_0_3,RDT1,2021-02-11,11Feb,11-02-24,00:32,1,213,,8,116,43,Silent,before,0.45,
RDT1_11Feb_0_4,RDT1,2021-02-11,11Feb,11-02-24,00:38,1,214,,8,117,20,Human,before,0.55,
RDT1_11Feb_2_1,RDT1,2021-02-11,11Feb,11-02-24,02:06,2,215,,8,118,17,Dog,before,0.8,
RDT1_11Feb_2_1,RDT1,2021-02-11,11Feb,11-02-24,02:06,2,216,,8,118,17,Dog,before,0.15,
RDT1_11Feb_2_2,RDT1,2021-02-11,11Feb,11-02-24,02:13,1,217,,8,119,44,Silent,before,0,
RDT1_11Feb_2_3,RDT1,2021-02-11,11Feb,11-02-24,02:23,1,218,,8,120,16,Novel,before,0,
RDT1_11Feb_3_1,RDT1,2021-02-11,11Feb,11-02-24,03:44,1,219,,8,121,17,Novel,before,0.736842105,
